phylum,class,genus,species,form,sample,img_path
Apicomplexa,Aconoidasida,Plasmodium,Plasmodium falciparum,trophozoites,blood,./train/Plasmodium falciparum/Pf_rings_thickD_1_35.jpg
Apicomplexa,Aconoidasida,Plasmodium,Plasmodium falciparum,trophozoites,blood,./train/Plasmodium falciparum/Pf_rings_thickD_2_35.jpg
Apicomplexa,Aconoidasida,Plasmodium,Plasmodium falciparum,trophozoites,blood,./train/Plasmodium falciparum/Pf_rings_thickD_3_35.jpg
Apicomplexa,Aconoidasida,Plasmodium,Plasmodium falciparum,trophozoites,blood,./train/Plasmodium falciparum/Pf_rings_thickD_4_35.jpg
Apicomplexa,Aconoidasida,Plasmodium,Plasmodium malariae,schizont,blood,./train/Plasmodium malariae/Pm_schizont_thickB_0_69.jpg
Apicomplexa,Aconoidasida,Plasmodium,Plasmodium malariae,schizont,blood,./train/Plasmodium malariae/Pm_schizont_thickB_1_69.jpg
Apicomplexa,Aconoidasida,Plasmodium,Plasmodium malariae,schizont,blood,./train/Plasmodium malariae/Pm_schizont_thickB_2_69.jpg
Apicomplexa,Aconoidasida,Plasmodium,Plasmodium malariae,schizont,blood,./train/Plasmodium malariae/Pm_schizont_thickB_3_69.jpg
Apicomplexa,Aconoidasida,Plasmodium,Plasmodium malariae,schizont,blood,./train/Plasmodium malariae/Pm_schizont_thickB_4_69.jpg
Amoebozoa,Tubulinea,Entamoeba,Entamoeba histolytica,trophozoites,wet mount,./train/Entamoeba histolytica/Ehistdisp_troph_wtmt2_0_13.jpg
Amoebozoa,Tubulinea,Entamoeba,Entamoeba histolytica,trophozoites,wet mount,./train/Entamoeba histolytica/Ehistdisp_troph_wtmt2_1_13.jpg
Amoebozoa,Tubulinea,Entamoeba,Entamoeba histolytica,trophozoites,wet mount,./train/Entamoeba histolytica/Ehistdisp_troph_wtmt2_2_13.jpg
Amoebozoa,Tubulinea,Entamoeba,Entamoeba histolytica,trophozoites,wet mount,./train/Entamoeba histolytica/Ehistdisp_troph_wtmt2_3_13.jpg
Amoebozoa,Tubulinea,Entamoeba,Entamoeba histolytica,trophozoites,wet mount,./train/Entamoeba histolytica/Ehistdisp_troph_wtmt2_4_13.jpg
Nematoda,Enoplea,Trichuris,Trichuris Trichuria,egg,feces,./train/Trichuris Trichuria/Trichuris_trichiura_egg_UV1_0_241.jpg
Nematoda,Enoplea,Trichuris,Trichuris Trichuria,egg,feces,./train/Trichuris Trichuria/Trichuris_trichiura_egg_UV1_1_241.jpg
Nematoda,Enoplea,Trichuris,Trichuris Trichuria,egg,feces,./train/Trichuris Trichuria/Trichuris_trichiura_egg_UV1_2_241.jpg
Nematoda,Enoplea,Trichuris,Trichuris Trichuria,egg,feces,./train/Trichuris Trichuria/Trichuris_trichiura_egg_UV1_3_241.jpg
Nematoda,Enoplea,Trichuris,Trichuris Trichuria,egg,feces,./train/Trichuris Trichuria/Trichuris_trichiura_egg_UV1_4_241.jpg
Apicomplexa,Conoidasida,Sarcocystis,Sarcocystis sp.,oocysts,wet mount,./train/Sarcocystis sp./Sarcocystis_UV3_400x_0_196.jpg
Apicomplexa,Conoidasida,Sarcocystis,Sarcocystis sp.,oocysts,wet mount,./train/Sarcocystis sp./Sarcocystis_UV3_400x_1_196.jpg
Apicomplexa,Conoidasida,Sarcocystis,Sarcocystis sp.,oocysts,wet mount,./train/Sarcocystis sp./Sarcocystis_UV3_400x_2_196.jpg
Apicomplexa,Conoidasida,Sarcocystis,Sarcocystis sp.,oocysts,wet mount,./train/Sarcocystis sp./Sarcocystis_UV3_400x_3_196.jpg
Apicomplexa,Conoidasida,Sarcocystis,Sarcocystis sp.,oocysts,wet mount,./train/Sarcocystis sp./Sarcocystis_UV3_400x_4_196.jpg
Nematoda,Enoplea,Trichuris,Trichuris Trichuria,egg,feces,./train/Trichuris Trichuria/Trichuris_trichiura_egg_HE_OR4_0_249.jpg
Nematoda,Enoplea,Trichuris,Trichuris Trichuria,egg,feces,./train/Trichuris Trichuria/Trichuris_trichiura_egg_HE_OR4_1_249.jpg
Nematoda,Enoplea,Trichuris,Trichuris Trichuria,egg,feces,./train/Trichuris Trichuria/Trichuris_trichiura_egg_HE_OR4_2_249.jpg
Nematoda,Enoplea,Trichuris,Trichuris Trichuria,egg,feces,./train/Trichuris Trichuria/Trichuris_trichiura_egg_HE_OR4_3_249.jpg
Nematoda,Enoplea,Trichuris,Trichuris Trichuria,egg,feces,./train/Trichuris Trichuria/Trichuris_trichiura_egg_HE_OR4_4_249.jpg
Apicomplexa,Aconoidasida,Plasmodium,Plasmodium malariae,trophozoites,blood,./train/Plasmodium malariae/Pm_ring_thinB_0_78.jpg
Apicomplexa,Aconoidasida,Plasmodium,Plasmodium malariae,trophozoites,blood,./train/Plasmodium malariae/Pm_ring_thinB_1_78.jpg
Apicomplexa,Aconoidasida,Plasmodium,Plasmodium malariae,trophozoites,blood,./train/Plasmodium malariae/Pm_ring_thinB_2_78.jpg
Apicomplexa,Aconoidasida,Plasmodium,Plasmodium malariae,trophozoites,blood,./train/Plasmodium malariae/Pm_ring_thinB_3_78.jpg
Apicomplexa,Aconoidasida,Plasmodium,Plasmodium malariae,trophozoites,blood,./train/Plasmodium malariae/Pm_ring_thinB_4_78.jpg
Platyhelminthes,Cestoda,Hymenolepis,Hymenolepis spp,egg,feces,./train/Hymenolepis spp/H_diminuta_proglottids_HE_BAM1_0_287.jpg
Platyhelminthes,Cestoda,Hymenolepis,Hymenolepis spp,egg,feces,./train/Hymenolepis spp/H_diminuta_proglottids_HE_BAM1_1_287.jpg
Platyhelminthes,Cestoda,Hymenolepis,Hymenolepis spp,egg,feces,./train/Hymenolepis spp/H_diminuta_proglottids_HE_BAM1_2_287.jpg
Platyhelminthes,Cestoda,Hymenolepis,Hymenolepis spp,egg,feces,./train/Hymenolepis spp/H_diminuta_proglottids_HE_BAM1_3_287.jpg
Platyhelminthes,Cestoda,Hymenolepis,Hymenolepis spp,egg,feces,./train/Hymenolepis spp/H_diminuta_proglottids_HE_BAM1_4_287.jpg
Apicomplexa,Conoidasida,Cyclospora,Cyclospora cayetanensis,oocysts,feces,./train/Cyclospora cayetanensis/Cyclospora_UV_Henry2_0_165.jpg
Apicomplexa,Conoidasida,Cyclospora,Cyclospora cayetanensis,oocysts,feces,./train/Cyclospora cayetanensis/Cyclospora_UV_Henry2_1_165.jpg
Apicomplexa,Conoidasida,Cyclospora,Cyclospora cayetanensis,oocysts,feces,./train/Cyclospora cayetanensis/Cyclospora_UV_Henry2_2_165.jpg
Apicomplexa,Conoidasida,Cyclospora,Cyclospora cayetanensis,oocysts,feces,./train/Cyclospora cayetanensis/Cyclospora_UV_Henry2_3_165.jpg
Apicomplexa,Conoidasida,Cyclospora,Cyclospora cayetanensis,oocysts,feces,./train/Cyclospora cayetanensis/Cyclospora_UV_Henry2_4_165.jpg
Apicomplexa,Conoidasida,Sarcocystis,Sarcocystis sp.,oocysts,wet mount,./train/Sarcocystis sp./Sarcocystis_wtmt_400x1_0_187.jpg
Apicomplexa,Conoidasida,Sarcocystis,Sarcocystis sp.,oocysts,wet mount,./train/Sarcocystis sp./Sarcocystis_wtmt_400x1_1_187.jpg
Apicomplexa,Conoidasida,Sarcocystis,Sarcocystis sp.,oocysts,wet mount,./train/Sarcocystis sp./Sarcocystis_wtmt_400x1_2_187.jpg
Apicomplexa,Conoidasida,Sarcocystis,Sarcocystis sp.,oocysts,wet mount,./train/Sarcocystis sp./Sarcocystis_wtmt_400x1_3_187.jpg
Apicomplexa,Conoidasida,Sarcocystis,Sarcocystis sp.,oocysts,wet mount,./train/Sarcocystis sp./Sarcocystis_wtmt_400x1_4_187.jpg
Apicomplexa,Aconoidasida,Plasmodium,Plasmodium falciparum,trophozoites,blood,./train/Plasmodium falciparum/Pf_rings_thickF_0_43.jpg
Apicomplexa,Aconoidasida,Plasmodium,Plasmodium falciparum,trophozoites,blood,./train/Plasmodium falciparum/Pf_rings_thickF_1_43.jpg
Apicomplexa,Aconoidasida,Plasmodium,Plasmodium falciparum,trophozoites,blood,./train/Plasmodium falciparum/Pf_rings_thickF_2_43.jpg
Apicomplexa,Aconoidasida,Plasmodium,Plasmodium falciparum,trophozoites,blood,./train/Plasmodium falciparum/Pf_rings_thickF_3_43.jpg
Apicomplexa,Aconoidasida,Plasmodium,Plasmodium falciparum,trophozoites,blood,./train/Plasmodium falciparum/Pf_rings_thickF_4_43.jpg
Platyhelminthes,Cestoda,Hymenolepis,Hymenolepis spp,egg,feces,./train/Hymenolepis spp/H_nana_HE2_0_286.jpg
Platyhelminthes,Cestoda,Hymenolepis,Hymenolepis spp,egg,feces,./train/Hymenolepis spp/H_nana_HE2_1_286.jpg
Platyhelminthes,Cestoda,Hymenolepis,Hymenolepis spp,egg,feces,./train/Hymenolepis spp/H_nana_HE2_2_286.jpg
Platyhelminthes,Cestoda,Hymenolepis,Hymenolepis spp,egg,feces,./train/Hymenolepis spp/H_nana_HE2_3_286.jpg
Platyhelminthes,Cestoda,Hymenolepis,Hymenolepis spp,egg,feces,./train/Hymenolepis spp/H_nana_HE2_4_286.jpg
Apicomplexa,Aconoidasida,Plasmodium,Plasmodium malariae,schizont,blood,./train/Plasmodium malariae/Pm_schizont_thickD_0_74.jpg
Apicomplexa,Aconoidasida,Plasmodium,Plasmodium malariae,schizont,blood,./train/Plasmodium malariae/Pm_schizont_thickD_1_74.jpg
Apicomplexa,Aconoidasida,Plasmodium,Plasmodium malariae,schizont,blood,./train/Plasmodium malariae/Pm_schizont_thickD_2_74.jpg
Apicomplexa,Aconoidasida,Plasmodium,Plasmodium malariae,schizont,blood,./train/Plasmodium malariae/Pm_schizont_thickD_3_74.jpg
Apicomplexa,Aconoidasida,Plasmodium,Plasmodium malariae,schizont,blood,./train/Plasmodium malariae/Pm_schizont_thickD_4_74.jpg
Nematoda,Chromadorea,Enterobius,Enterobius vermicularis,adult,intestine,./train/Enterobius vermicularis/Evermicularis_Sheboygan_longitud_0_222.jpg
Nematoda,Chromadorea,Enterobius,Enterobius vermicularis,adult,intestine,./train/Enterobius vermicularis/Evermicularis_Sheboygan_longitud_1_222.jpg
Nematoda,Chromadorea,Enterobius,Enterobius vermicularis,adult,intestine,./train/Enterobius vermicularis/Evermicularis_Sheboygan_longitud_2_222.jpg
Nematoda,Chromadorea,Enterobius,Enterobius vermicularis,adult,intestine,./train/Enterobius vermicularis/Evermicularis_Sheboygan_longitud_3_222.jpg
Nematoda,Chromadorea,Enterobius,Enterobius vermicularis,adult,intestine,./train/Enterobius vermicularis/Evermicularis_Sheboygan_longitud_4_222.jpg
Sarcomastigophora,Zooflagellate,Giardia,Giardia duodenalis,cyst,wet mount,./train/Giardia duodenalis/Giardia_cyst_tric9_0_298.jpg
Sarcomastigophora,Zooflagellate,Giardia,Giardia duodenalis,cyst,wet mount,./train/Giardia duodenalis/Giardia_cyst_tric9_1_298.jpg
Sarcomastigophora,Zooflagellate,Giardia,Giardia duodenalis,cyst,wet mount,./train/Giardia duodenalis/Giardia_cyst_tric9_2_298.jpg
Sarcomastigophora,Zooflagellate,Giardia,Giardia duodenalis,cyst,wet mount,./train/Giardia duodenalis/Giardia_cyst_tric9_3_298.jpg
Sarcomastigophora,Zooflagellate,Giardia,Giardia duodenalis,cyst,wet mount,./train/Giardia duodenalis/Giardia_cyst_tric9_4_298.jpg
Sarcomastigophora,Zooflagellate,Giardia,Giardia duodenalis,cyst,wet mount,./train/Giardia duodenalis/Giardia_cyst_dic_0_294.jpg
Sarcomastigophora,Zooflagellate,Giardia,Giardia duodenalis,cyst,wet mount,./train/Giardia duodenalis/Giardia_cyst_dic_1_294.jpg
Sarcomastigophora,Zooflagellate,Giardia,Giardia duodenalis,cyst,wet mount,./train/Giardia duodenalis/Giardia_cyst_dic_2_294.jpg
Sarcomastigophora,Zooflagellate,Giardia,Giardia duodenalis,cyst,wet mount,./train/Giardia duodenalis/Giardia_cyst_dic_3_294.jpg
Sarcomastigophora,Zooflagellate,Giardia,Giardia duodenalis,cyst,wet mount,./train/Giardia duodenalis/Giardia_cyst_dic_4_294.jpg
Apicomplexa,Aconoidasida,Plasmodium,Plasmodium ovale,gametocyte,blood,./train/Plasmodium ovale/Po_gametocyte_thinB_0_93.jpg
Apicomplexa,Aconoidasida,Plasmodium,Plasmodium ovale,gametocyte,blood,./train/Plasmodium ovale/Po_gametocyte_thinB_1_93.jpg
Apicomplexa,Aconoidasida,Plasmodium,Plasmodium ovale,gametocyte,blood,./train/Plasmodium ovale/Po_gametocyte_thinB_2_93.jpg
Apicomplexa,Aconoidasida,Plasmodium,Plasmodium ovale,gametocyte,blood,./train/Plasmodium ovale/Po_gametocyte_thinB_3_93.jpg
Apicomplexa,Aconoidasida,Plasmodium,Plasmodium ovale,gametocyte,blood,./train/Plasmodium ovale/Po_gametocyte_thinB_4_93.jpg
Nematoda,Chromadorea,Enterobius,Enterobius vermicularis,adult,intestine,./train/Enterobius vermicularis/Evermicularis_adult_posterior_Norway_0_215.jpg
Nematoda,Chromadorea,Enterobius,Enterobius vermicularis,adult,intestine,./train/Enterobius vermicularis/Evermicularis_adult_posterior_Norway_1_215.jpg
Nematoda,Chromadorea,Enterobius,Enterobius vermicularis,adult,intestine,./train/Enterobius vermicularis/Evermicularis_adult_posterior_Norway_2_215.jpg
Nematoda,Chromadorea,Enterobius,Enterobius vermicularis,adult,intestine,./train/Enterobius vermicularis/Evermicularis_adult_posterior_Norway_3_215.jpg
Nematoda,Chromadorea,Enterobius,Enterobius vermicularis,adult,intestine,./train/Enterobius vermicularis/Evermicularis_adult_posterior_Norway_4_215.jpg
Apicomplexa,Aconoidasida,Plasmodium,Plasmodium falciparum,gametocyte,blood,./train/Plasmodium falciparum/Pf_gametocyte_thinA_0_32.jpg
Apicomplexa,Aconoidasida,Plasmodium,Plasmodium falciparum,gametocyte,blood,./train/Plasmodium falciparum/Pf_gametocyte_thinA_1_32.jpg
Apicomplexa,Aconoidasida,Plasmodium,Plasmodium falciparum,gametocyte,blood,./train/Plasmodium falciparum/Pf_gametocyte_thinA_2_32.jpg
Apicomplexa,Aconoidasida,Plasmodium,Plasmodium falciparum,gametocyte,blood,./train/Plasmodium falciparum/Pf_gametocyte_thinA_3_32.jpg
Apicomplexa,Aconoidasida,Plasmodium,Plasmodium falciparum,gametocyte,blood,./train/Plasmodium falciparum/Pf_gametocyte_thinA_4_32.jpg
Nematoda,Chromadorea,Ascaris,Ascaris lumbricoides,egg,feces,./train/Ascaris lumbricoides/Ascaris_egg_unfert_decort_200x_0_200.jpg
Nematoda,Chromadorea,Ascaris,Ascaris lumbricoides,egg,feces,./train/Ascaris lumbricoides/Ascaris_egg_unfert_decort_200x_1_200.jpg
Nematoda,Chromadorea,Ascaris,Ascaris lumbricoides,egg,feces,./train/Ascaris lumbricoides/Ascaris_egg_unfert_decort_200x_2_200.jpg
Nematoda,Chromadorea,Ascaris,Ascaris lumbricoides,egg,feces,./train/Ascaris lumbricoides/Ascaris_egg_unfert_decort_200x_3_200.jpg
Nematoda,Chromadorea,Ascaris,Ascaris lumbricoides,egg,feces,./train/Ascaris lumbricoides/Ascaris_egg_unfert_decort_200x_4_200.jpg
Nematoda,Chromadorea,Enterobius,Enterobius vermicularis,egg,intestine,./train/Enterobius vermicularis/Evermicularis_egg_HBa_0_224.jpg
Nematoda,Chromadorea,Enterobius,Enterobius vermicularis,egg,intestine,./train/Enterobius vermicularis/Evermicularis_egg_HBa_1_224.jpg
Nematoda,Chromadorea,Enterobius,Enterobius vermicularis,egg,intestine,./train/Enterobius vermicularis/Evermicularis_egg_HBa_2_224.jpg
Nematoda,Chromadorea,Enterobius,Enterobius vermicularis,egg,intestine,./train/Enterobius vermicularis/Evermicularis_egg_HBa_3_224.jpg
Nematoda,Chromadorea,Enterobius,Enterobius vermicularis,egg,intestine,./train/Enterobius vermicularis/Evermicularis_egg_HBa_4_224.jpg
Apicomplexa,Conoidasida,Cryptosporidium,Cryptosporidium sp.,oocysts,feces,./train/Cryptosporidium sp./Crypto_acidfast2_web_0_148.jpg
Apicomplexa,Conoidasida,Cryptosporidium,Cryptosporidium sp.,oocysts,feces,./train/Cryptosporidium sp./Crypto_acidfast2_web_1_148.jpg
Apicomplexa,Conoidasida,Cryptosporidium,Cryptosporidium sp.,oocysts,feces,./train/Cryptosporidium sp./Crypto_acidfast2_web_2_148.jpg
Apicomplexa,Conoidasida,Cryptosporidium,Cryptosporidium sp.,oocysts,feces,./train/Cryptosporidium sp./Crypto_acidfast2_web_3_148.jpg
Apicomplexa,Conoidasida,Cryptosporidium,Cryptosporidium sp.,oocysts,feces,./train/Cryptosporidium sp./Crypto_acidfast2_web_4_148.jpg
Apicomplexa,Aconoidasida,Plasmodium,Plasmodium ovale,trophozoites,blood,./train/Plasmodium ovale/Po_troph_thinC_0_106.jpg
Apicomplexa,Aconoidasida,Plasmodium,Plasmodium ovale,trophozoites,blood,./train/Plasmodium ovale/Po_troph_thinC_1_106.jpg
Apicomplexa,Aconoidasida,Plasmodium,Plasmodium ovale,trophozoites,blood,./train/Plasmodium ovale/Po_troph_thinC_2_106.jpg
Apicomplexa,Aconoidasida,Plasmodium,Plasmodium ovale,trophozoites,blood,./train/Plasmodium ovale/Po_troph_thinC_3_106.jpg
Apicomplexa,Aconoidasida,Plasmodium,Plasmodium ovale,trophozoites,blood,./train/Plasmodium ovale/Po_troph_thinC_4_106.jpg
Platyhelminthes,Cestoda,Hymenolepis,Hymenolepis spp,egg,feces,./train/Hymenolepis spp/H_diminuta_eggs_BAM2_0_275.jpg
Platyhelminthes,Cestoda,Hymenolepis,Hymenolepis spp,egg,feces,./train/Hymenolepis spp/H_diminuta_eggs_BAM2_1_275.jpg
Platyhelminthes,Cestoda,Hymenolepis,Hymenolepis spp,egg,feces,./train/Hymenolepis spp/H_diminuta_eggs_BAM2_2_275.jpg
Platyhelminthes,Cestoda,Hymenolepis,Hymenolepis spp,egg,feces,./train/Hymenolepis spp/H_diminuta_eggs_BAM2_3_275.jpg
Platyhelminthes,Cestoda,Hymenolepis,Hymenolepis spp,egg,feces,./train/Hymenolepis spp/H_diminuta_eggs_BAM2_4_275.jpg
Platyhelminthes,Cestoda,Hymenolepis,Hymenolepis spp,egg,feces,./train/Hymenolepis spp/H_nana_egg_wtmt_OR_0_281.jpg
Platyhelminthes,Cestoda,Hymenolepis,Hymenolepis spp,egg,feces,./train/Hymenolepis spp/H_nana_egg_wtmt_OR_1_281.jpg
Platyhelminthes,Cestoda,Hymenolepis,Hymenolepis spp,egg,feces,./train/Hymenolepis spp/H_nana_egg_wtmt_OR_2_281.jpg
Platyhelminthes,Cestoda,Hymenolepis,Hymenolepis spp,egg,feces,./train/Hymenolepis spp/H_nana_egg_wtmt_OR_3_281.jpg
Platyhelminthes,Cestoda,Hymenolepis,Hymenolepis spp,egg,feces,./train/Hymenolepis spp/H_nana_egg_wtmt_OR_4_281.jpg
Apicomplexa,Aconoidasida,Plasmodium,Plasmodium falciparum,trophozoites,blood,./train/Plasmodium falciparum/Pf_rings_thinD_0_37.jpg
Apicomplexa,Aconoidasida,Plasmodium,Plasmodium falciparum,trophozoites,blood,./train/Plasmodium falciparum/Pf_rings_thinD_1_37.jpg
Apicomplexa,Aconoidasida,Plasmodium,Plasmodium falciparum,trophozoites,blood,./train/Plasmodium falciparum/Pf_rings_thinD_2_37.jpg
Apicomplexa,Aconoidasida,Plasmodium,Plasmodium falciparum,trophozoites,blood,./train/Plasmodium falciparum/Pf_rings_thinD_3_37.jpg
Apicomplexa,Aconoidasida,Plasmodium,Plasmodium falciparum,trophozoites,blood,./train/Plasmodium falciparum/Pf_rings_thinD_4_37.jpg
Apicomplexa,Aconoidasida,Plasmodium,Plasmodium vivax,schizont,blood,./train/Plasmodium vivax/Pv_schizont_thinD_0_123.jpg
Apicomplexa,Aconoidasida,Plasmodium,Plasmodium vivax,schizont,blood,./train/Plasmodium vivax/Pv_schizont_thinD_1_123.jpg
Apicomplexa,Aconoidasida,Plasmodium,Plasmodium vivax,schizont,blood,./train/Plasmodium vivax/Pv_schizont_thinD_2_123.jpg
Apicomplexa,Aconoidasida,Plasmodium,Plasmodium vivax,schizont,blood,./train/Plasmodium vivax/Pv_schizont_thinD_3_123.jpg
Apicomplexa,Aconoidasida,Plasmodium,Plasmodium vivax,schizont,blood,./train/Plasmodium vivax/Pv_schizont_thinD_4_123.jpg
Platyhelminthes,Cestoda,Hymenolepis,Hymenolepis spp,egg,feces,./train/Hymenolepis spp/H_nana_HE3_0_284.jpg
Platyhelminthes,Cestoda,Hymenolepis,Hymenolepis spp,egg,feces,./train/Hymenolepis spp/H_nana_HE3_1_284.jpg
Platyhelminthes,Cestoda,Hymenolepis,Hymenolepis spp,egg,feces,./train/Hymenolepis spp/H_nana_HE3_2_284.jpg
Platyhelminthes,Cestoda,Hymenolepis,Hymenolepis spp,egg,feces,./train/Hymenolepis spp/H_nana_HE3_3_284.jpg
Platyhelminthes,Cestoda,Hymenolepis,Hymenolepis spp,egg,feces,./train/Hymenolepis spp/H_nana_HE3_4_284.jpg
Apicomplexa,Aconoidasida,Plasmodium,Plasmodium malariae,schizont,blood,./train/Plasmodium malariae/Pm_schizont_thinB_0_70.jpg
Apicomplexa,Aconoidasida,Plasmodium,Plasmodium malariae,schizont,blood,./train/Plasmodium malariae/Pm_schizont_thinB_1_70.jpg
Apicomplexa,Aconoidasida,Plasmodium,Plasmodium malariae,schizont,blood,./train/Plasmodium malariae/Pm_schizont_thinB_2_70.jpg
Apicomplexa,Aconoidasida,Plasmodium,Plasmodium malariae,schizont,blood,./train/Plasmodium malariae/Pm_schizont_thinB_3_70.jpg
Apicomplexa,Aconoidasida,Plasmodium,Plasmodium malariae,schizont,blood,./train/Plasmodium malariae/Pm_schizont_thinB_4_70.jpg
Apicomplexa,Conoidasida,Cyclospora,Cyclospora cayetanensis,oocysts,feces,./train/Cyclospora cayetanensis/Cyclospora_AF_Henry2_0_172.jpg
Apicomplexa,Conoidasida,Cyclospora,Cyclospora cayetanensis,oocysts,feces,./train/Cyclospora cayetanensis/Cyclospora_AF_Henry2_1_172.jpg
Apicomplexa,Conoidasida,Cyclospora,Cyclospora cayetanensis,oocysts,feces,./train/Cyclospora cayetanensis/Cyclospora_AF_Henry2_2_172.jpg
Apicomplexa,Conoidasida,Cyclospora,Cyclospora cayetanensis,oocysts,feces,./train/Cyclospora cayetanensis/Cyclospora_AF_Henry2_3_172.jpg
Apicomplexa,Conoidasida,Cyclospora,Cyclospora cayetanensis,oocysts,feces,./train/Cyclospora cayetanensis/Cyclospora_AF_Henry2_4_172.jpg
Apicomplexa,Aconoidasida,Plasmodium,Plasmodium falciparum,gametocyte,blood,./train/Plasmodium falciparum/Pf_gametocyte_thinE_0_33.jpg
Apicomplexa,Aconoidasida,Plasmodium,Plasmodium falciparum,gametocyte,blood,./train/Plasmodium falciparum/Pf_gametocyte_thinE_1_33.jpg
Apicomplexa,Aconoidasida,Plasmodium,Plasmodium falciparum,gametocyte,blood,./train/Plasmodium falciparum/Pf_gametocyte_thinE_2_33.jpg
Apicomplexa,Aconoidasida,Plasmodium,Plasmodium falciparum,gametocyte,blood,./train/Plasmodium falciparum/Pf_gametocyte_thinE_3_33.jpg
Apicomplexa,Aconoidasida,Plasmodium,Plasmodium falciparum,gametocyte,blood,./train/Plasmodium falciparum/Pf_gametocyte_thinE_4_33.jpg
Platyhelminthes,Cestoda,Hymenolepis,Hymenolepis spp,egg,feces,./train/Hymenolepis spp/H_diminuta_egg_wtmt2_0_272.jpg
Platyhelminthes,Cestoda,Hymenolepis,Hymenolepis spp,egg,feces,./train/Hymenolepis spp/H_diminuta_egg_wtmt2_1_272.jpg
Platyhelminthes,Cestoda,Hymenolepis,Hymenolepis spp,egg,feces,./train/Hymenolepis spp/H_diminuta_egg_wtmt2_2_272.jpg
Platyhelminthes,Cestoda,Hymenolepis,Hymenolepis spp,egg,feces,./train/Hymenolepis spp/H_diminuta_egg_wtmt2_3_272.jpg
Platyhelminthes,Cestoda,Hymenolepis,Hymenolepis spp,egg,feces,./train/Hymenolepis spp/H_diminuta_egg_wtmt2_4_272.jpg
Nematoda,Chromadorea,Enterobius,Enterobius vermicularis,egg,intestine,./train/Enterobius vermicularis/Evermicularis_worm4_HB_0_223.jpg
Nematoda,Chromadorea,Enterobius,Enterobius vermicularis,egg,intestine,./train/Enterobius vermicularis/Evermicularis_worm4_HB_1_223.jpg
Nematoda,Chromadorea,Enterobius,Enterobius vermicularis,egg,intestine,./train/Enterobius vermicularis/Evermicularis_worm4_HB_2_223.jpg
Nematoda,Chromadorea,Enterobius,Enterobius vermicularis,egg,intestine,./train/Enterobius vermicularis/Evermicularis_worm4_HB_3_223.jpg
Nematoda,Chromadorea,Enterobius,Enterobius vermicularis,egg,intestine,./train/Enterobius vermicularis/Evermicularis_worm4_HB_4_223.jpg
Apicomplexa,Conoidasida,Cyclospora,Cyclospora cayetanensis,oocysts,feces,./train/Cyclospora cayetanensis/Cyclospora_DIC_Mike3_0_183.jpg
Apicomplexa,Conoidasida,Cyclospora,Cyclospora cayetanensis,oocysts,feces,./train/Cyclospora cayetanensis/Cyclospora_DIC_Mike3_1_183.jpg
Apicomplexa,Conoidasida,Cyclospora,Cyclospora cayetanensis,oocysts,feces,./train/Cyclospora cayetanensis/Cyclospora_DIC_Mike3_2_183.jpg
Apicomplexa,Conoidasida,Cyclospora,Cyclospora cayetanensis,oocysts,feces,./train/Cyclospora cayetanensis/Cyclospora_DIC_Mike3_3_183.jpg
Apicomplexa,Conoidasida,Cyclospora,Cyclospora cayetanensis,oocysts,feces,./train/Cyclospora cayetanensis/Cyclospora_DIC_Mike3_4_183.jpg
Apicomplexa,Aconoidasida,Plasmodium,Plasmodium vivax,gametocyte,blood,./train/Plasmodium vivax/Pv_gametocyte_thinA_0_112.jpg
Apicomplexa,Aconoidasida,Plasmodium,Plasmodium vivax,gametocyte,blood,./train/Plasmodium vivax/Pv_gametocyte_thinA_1_112.jpg
Apicomplexa,Aconoidasida,Plasmodium,Plasmodium vivax,gametocyte,blood,./train/Plasmodium vivax/Pv_gametocyte_thinA_2_112.jpg
Apicomplexa,Aconoidasida,Plasmodium,Plasmodium vivax,gametocyte,blood,./train/Plasmodium vivax/Pv_gametocyte_thinA_3_112.jpg
Apicomplexa,Aconoidasida,Plasmodium,Plasmodium vivax,gametocyte,blood,./train/Plasmodium vivax/Pv_gametocyte_thinA_4_112.jpg
Apicomplexa,Conoidasida,Sarcocystis,Sarcocystis sp.,oocysts,wet mount,./train/Sarcocystis sp./Sarcocystis_DIC1_400x_0_192.jpg
Apicomplexa,Conoidasida,Sarcocystis,Sarcocystis sp.,oocysts,wet mount,./train/Sarcocystis sp./Sarcocystis_DIC1_400x_1_192.jpg
Apicomplexa,Conoidasida,Sarcocystis,Sarcocystis sp.,oocysts,wet mount,./train/Sarcocystis sp./Sarcocystis_DIC1_400x_2_192.jpg
Apicomplexa,Conoidasida,Sarcocystis,Sarcocystis sp.,oocysts,wet mount,./train/Sarcocystis sp./Sarcocystis_DIC1_400x_3_192.jpg
Apicomplexa,Conoidasida,Sarcocystis,Sarcocystis sp.,oocysts,wet mount,./train/Sarcocystis sp./Sarcocystis_DIC1_400x_4_192.jpg
Nematoda,Chromadorea,Ascaris,Ascaris lumbricoides,egg,feces,./train/Ascaris lumbricoides/Ascaris_egg_fert_200x_0_208.jpg
Nematoda,Chromadorea,Ascaris,Ascaris lumbricoides,egg,feces,./train/Ascaris lumbricoides/Ascaris_egg_fert_200x_1_208.jpg
Nematoda,Chromadorea,Ascaris,Ascaris lumbricoides,egg,feces,./train/Ascaris lumbricoides/Ascaris_egg_fert_200x_2_208.jpg
